_id,year_-_month,product_type,unpackaged_production_units,unpackaged_inventory_units,packaged_production_units,packaged_inventory_units_-_federal_licence_holders,packaged_inventory_units_-_provincial_distributors_and_retailer,sales_units_-_medical,sales_units_-_non-medical,unpackaged_production_kilograms,unpackaged_inventory_kilograms,packaged_production_kilograms,packaged_inventory_kilograms_-_federal_licence_holders,packaged_inventory_kilograms_-_provincial_distributors_and_reta,sales_kilograms_-_medical,sales_kilograms_-_non-medical
1,2019-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,732388,5630075,1820111,167357,320201,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
2,2019-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,430658,5595722,1676016,182506,328908,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
3,2019-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1245160,5882326,1776396,195560,400707,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
4,2020-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,973120,6009120,1803543,201236,527978,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
5,2020-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1127995,5877090,2023192,187945,599407,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
6,2020-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1568246,6261853,2261735,246229,791435,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
7,2020-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2088349,6931819,2430559,218831,813972,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
8,2020-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1574352,6989660,2290549,210662,844430,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
9,2020-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1795493,7007428,2732289,225437,934089,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
10,2020-07 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1453461,7172408,2643443,275208,1077533,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
11,2020-08 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1590358,7527769,2546740,221216,1113893,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
12,2020-09 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2047877,7223727,2669922,213133,1205835,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
13,2020-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2341292,6639169,3173206,223025,1328769,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
14,2020-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3106745,6851201,3588152,238509,1247529,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
15,2020-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3170824,6976415,4570817,240110,1556731,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
16,2021-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2718205,7482912,4597434,231413,1615524,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
17,2021-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2234116,7884432,4459299,218584,1480795,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
18,2021-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2821170,8387247,4426691,263883,1692092,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
19,2021-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2341491,8359739,4457567,236798,1707568,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
20,2021-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2521420,8387071,4459707,238069,1723612,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
21,2021-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2536983,8150846,4848691,235365,1793926,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
